W,Model,AUC,F1,Precision,Recall,Threshold
300,IsolationForest,0.6626535551266735,0.8769733260751225,0.8055,0.9623655913978495,-0.10009995364521827
300,OC-SVM,0.8024679575548062,0.8867719107240065,0.8145,0.9731182795698925,-2.7499478794405148
300,LOF,0.9099913045322474,0.9169054441260746,0.8810572687224669,0.955794504181601,-0.4450422002928838
400,IsolationForest,0.7256747289058988,0.8910375604313872,0.8354253835425384,0.9545816733067729,-0.08277037972003493
400,OC-SVM,0.8389518043312315,0.9019461077844312,0.8503881439661256,0.9601593625498008,-1.8747898872404751
400,LOF,0.9232759251707083,0.9219183511692429,0.917192429022082,0.9266932270916335,-0.42397277175472825
500,IsolationForest,0.6726809538817103,0.8891916439600364,0.8158333333333333,0.9770459081836327,-0.08772583777560329
500,OC-SVM,0.8722259428511399,0.9163879598662207,0.8790100824931256,0.9570858283433133,-1.1263602275322415
500,LOF,0.9294568757222397,0.9317851959361393,0.9042253521126761,0.9610778443113772,-0.4271734616270281
600,IsolationForest,0.7879337301736804,0.9020674646354734,0.8273453093812375,0.9916267942583732,-0.08309475435202339
600,OC-SVM,0.9109887729344837,0.9320951828206616,0.9052987598647125,0.9605263157894737,-0.9294706620376396
600,LOF,0.9465913800248653,0.942433234421365,0.9352179034157833,0.9497607655502392,-0.39513478616575065
700,IsolationForest,0.8222910176865845,0.9154557463672391,0.868421052631579,0.9678770949720671,-0.06526726861215808
700,OC-SVM,0.9343511057333368,0.9435215946843853,0.899873257287706,0.9916201117318436,-0.7002665704065041
700,LOF,0.9551592307494271,0.9504412763068567,0.9247027741083224,0.9776536312849162,-0.4021334293290369
800,IsolationForest,0.856400570805003,0.9250567751703255,0.8804034582132565,0.9744816586921851,-0.061228612111710407
800,OC-SVM,0.9664400235037354,0.965034965034965,0.9409090909090909,0.9904306220095693,-0.23304252866867436
800,LOF,0.980466717031814,0.9772905246671887,0.96,0.9952153110047847,-0.3606265401007005
900,IsolationForest,0.874857913802811,0.9460869565217391,0.9173693086003373,0.9766606822262118,-0.047238991122598384
900,OC-SVM,0.9767244218286892,0.9706666666666667,0.9612676056338029,0.9802513464991023,-0.006542514232729335
900,LOF,0.9866146834797573,0.9795555555555555,0.9700704225352113,0.9892280071813285,-0.31894327083771423
1000,IsolationForest,0.8698026315789474,0.9440758293838862,0.8972972972972973,0.996,-0.05725499172047524
1000,OC-SVM,0.9861578947368421,0.9734513274336283,0.9574468085106383,0.99,-0.0110757996312425
1000,LOF,0.9966315789473684,0.9801980198019802,0.9705882352941176,0.99,-0.31803229909398806
