B,AUC_scoreA,symb_quality_%
4,0.9249207920792079,100.0
5,0.9241782178217822,100.0
6,0.9621287128712871,100.0
7,0.9256105610561056,100.0
8,0.9671221122112211,100.0
9,0.9478448844884488,100.0
10,0.9383531353135314,100.0
11,0.9327920792079207,100.0
12,0.9298118811881187,99.0
