,300,400,500,600,700,800
KAN,99.10801110971849,99.54405916404001,99.55333918029332,99.7022860377831,99.86110692471479,99.9603168354251
MLP,98.20113808114537,98.6516749844682,98.36221717485168,98.27350106371733,98.71455059664129,98.76774208988246
