Feature,Importance
S1_rms,0.25948152
S1_std,0.25686824
S1_p2p,0.20998882
S4_mean,0.20005642
S1_var,0.19662909
S2_rms,0.14990024
S2_std,0.14807893
S1_shape,0.1438902
S4_rms,0.14209253
S2_shape,0.13491951
S3_mean,0.13333562
S3_shape,0.13325082
S4_std,0.1326762
S4_shape,0.12858589
S4_p2p,0.123621084
S2_skew,0.122868374
S2_kurt,0.112532526
S1_mean,0.109780066
S4_var,0.10688359
S2_var,0.10517673
S1_skew,0.10369988
S3_skew,0.09778609
S3_std,0.096103474
S4_skew,0.094000384
S3_rms,0.09334398
S2_p2p,0.08284997
S4_kurt,0.07577327
S3_p2p,0.07499611
S3_crest,0.07263115
S3_kurt,0.06938903
S3_var,0.0677368
S4_margin,0.06642825
S2_margin,0.06610704
S1_kurt,0.06259904
S4_impulse,0.0624164
S1_margin,0.055666685
S4_crest,0.055280805
S2_impulse,0.053123172
S1_impulse,0.0469138
S2_mean,0.046398953
S3_impulse,0.037602466
S3_margin,0.035121143
S2_crest,0.030385735
S1_crest,0.024111897
