Feature,Importance
S1_std,0.27694046
S1_rms,0.27171764
S1_p2p,0.22590643
S1_var,0.21324587
S4_mean,0.21272855
S1_shape,0.1592374
S2_shape,0.14306583
S2_p2p,0.13953795
S2_skew,0.1280842
S3_mean,0.127314
S3_skew,0.1239609
S4_p2p,0.120988816
S4_rms,0.118218
S2_std,0.11811414
S3_shape,0.11579898
S2_rms,0.11575412
S1_mean,0.10882974
S2_var,0.10831189
S4_std,0.107454345
S4_shape,0.10256515
S2_kurt,0.097637266
S3_kurt,0.09193661
S4_crest,0.085128605
S4_skew,0.08460697
S1_skew,0.08324347
S3_p2p,0.082955845
S3_rms,0.079907276
S4_var,0.0787835
S3_std,0.07784555
S2_margin,0.074830644
S4_impulse,0.07257536
S4_kurt,0.06959178
S2_mean,0.06695671
S1_kurt,0.06508979
S4_margin,0.064971745
S3_crest,0.06349332
S2_impulse,0.06297148
S3_var,0.06241798
S2_crest,0.055399954
S1_margin,0.05098752
S3_margin,0.0487105
S3_impulse,0.046699643
S1_impulse,0.040650513
S1_crest,0.038358357
