Feature,Index,Importance
S1_rms,1,0.24624354
S1_std,2,0.24358438
S1_p2p,6,0.19345738
S1_var,3,0.18149756
S4_mean,33,0.18141766
S1_shape,8,0.1510164
S3_shape,30,0.14374624
S2_skew,15,0.14154428
S2_shape,19,0.13514437
S2_p2p,17,0.12260618
S2_std,13,0.120541975
S3_mean,22,0.11916811
S2_rms,12,0.117931396
S1_mean,0,0.11454244
S1_skew,4,0.113093264
S3_kurt,27,0.11173399
S4_rms,34,0.110322714
S4_p2p,39,0.10892934
S4_shape,41,0.107375905
S2_kurt,16,0.103935055
S4_kurt,38,0.1036552
S4_std,35,0.10352671
S2_var,14,0.102900274
S4_skew,37,0.09708082
S2_mean,11,0.0893359
S4_var,36,0.08735865
S3_std,24,0.086834855
S3_rms,23,0.08417135
S3_skew,26,0.077992685
S4_crest,40,0.07517901
S4_impulse,43,0.07497136
S4_margin,42,0.07415127
S2_margin,20,0.0714387
S1_kurt,5,0.07097706
S3_p2p,28,0.06718156
S3_var,25,0.06016972
S2_impulse,21,0.059076235
S1_margin,9,0.057492092
S1_impulse,10,0.04675617
S3_crest,29,0.04159594
S2_crest,18,0.033644106
S1_crest,7,0.03318435
S3_margin,31,0.03041622
S3_impulse,32,0.027214693
