Feature,Importance
S1_rms,0.24624354
S1_std,0.24358438
S1_p2p,0.19345738
S1_var,0.18149756
S4_mean,0.18141766
S1_shape,0.1510164
S3_shape,0.14374624
S2_skew,0.14154428
S2_shape,0.13514437
S2_p2p,0.12260618
S2_std,0.120541975
S3_mean,0.11916811
S2_rms,0.117931396
S1_mean,0.11454244
S1_skew,0.113093264
S3_kurt,0.11173399
S4_rms,0.110322714
S4_p2p,0.10892934
S4_shape,0.107375905
S2_kurt,0.103935055
S4_kurt,0.1036552
S4_std,0.10352671
S2_var,0.102900274
S4_skew,0.09708082
S2_mean,0.0893359
S4_var,0.08735865
S3_std,0.086834855
S3_rms,0.08417135
S3_skew,0.077992685
S4_crest,0.07517901
S4_impulse,0.07497136
S4_margin,0.07415127
S2_margin,0.0714387
S1_kurt,0.07097706
S3_p2p,0.06718156
S3_var,0.06016972
S2_impulse,0.059076235
S1_margin,0.057492092
S1_impulse,0.04675617
S3_crest,0.04159594
S2_crest,0.033644106
S1_crest,0.03318435
S3_margin,0.03041622
S3_impulse,0.027214693
