Feature,Index,Importance
S1_std,2,0.25824067
S1_rms,1,0.257092
S1_p2p,6,0.2101518
S1_var,3,0.20311843
S4_mean,33,0.20138003
S1_shape,8,0.15468533
S2_std,13,0.14536752
S2_rms,12,0.1447595
S4_rms,34,0.1425822
S2_shape,19,0.14110257
S3_shape,30,0.13866702
S3_mean,22,0.13744682
S2_skew,15,0.13172442
S4_std,35,0.12928145
S4_p2p,39,0.12665619
S4_shape,41,0.12649152
S1_mean,0,0.114733465
S1_skew,4,0.11119499
S2_kurt,16,0.11046059
S2_var,14,0.106343605
S4_var,36,0.10284314
S3_skew,26,0.10004153
S4_skew,37,0.09917056
S3_std,24,0.09611985
S3_rms,23,0.09392465
S2_p2p,17,0.085993595
S3_kurt,27,0.0842434
S4_kurt,38,0.07945168
S3_p2p,28,0.07562473
S3_var,25,0.07459452
S1_kurt,5,0.07088238
S2_margin,20,0.066889346
S4_margin,42,0.06592879
S4_impulse,43,0.063698225
S3_crest,29,0.06206932
S1_margin,9,0.060964182
S4_crest,40,0.059575543
S2_impulse,21,0.05331576
S1_impulse,10,0.051132593
S2_mean,11,0.048688952
S3_margin,31,0.04092147
S3_impulse,32,0.03855828
S2_crest,18,0.03713962
S1_crest,7,0.035373278
