,300,400,500,600,700,800
DT,96.19396233001304,97.3037221136159,97.89079865220458,97.67761155722859,97.87938751032523,98.29153022476206
RF,98.63231095257797,99.18710406949485,99.57814746090715,99.67252499465967,99.68724993821732,99.68213691026179
SVM,99.31624426342765,99.76207194255059,99.80148638908503,99.91070934252224,99.89571035159204,100.0
NB,86.8741808420311,89.74458339424535,92.17946158021458,94.67038363862368,95.69036227460347,97.61586229371282
KNN,97.63637632161023,98.61215419867892,99.00740054426261,98.95817759719924,99.09630540317784,99.6027790472391
GBC,98.88506114447819,99.50437654513655,99.45408871592176,99.6129062563767,99.8261398736731,99.40403432029224
LR,98.8702447508443,99.52415737778409,99.82629734362402,99.91071158349902,100.0,100.0
