Feature,Index,Importance
S1_rms,1,0.22245596
S1_std,2,0.22027089
S1_p2p,6,0.17395587
S4_mean,33,0.17378655
S1_var,3,0.17364646
S3_shape,30,0.15273763
S2_skew,15,0.14963645
S1_shape,8,0.14794226
S2_shape,19,0.14128436
S3_mean,22,0.13409895
S2_std,13,0.1330006
S2_rms,12,0.1326372
S1_mean,0,0.1320495
S2_var,14,0.12958175
S1_skew,4,0.1260633
S4_skew,37,0.11421683
S4_shape,41,0.10502832
S3_skew,26,0.101708576
S2_p2p,17,0.100979514
S4_p2p,39,0.09965306
S3_kurt,27,0.09726185
S4_rms,34,0.09483285
S2_kurt,16,0.09102699
S4_std,35,0.089537315
S4_kurt,38,0.08324904
S1_kurt,5,0.08251378
S2_mean,11,0.07667219
S4_crest,40,0.063694544
S1_margin,9,0.063541435
S2_margin,20,0.06241522
S4_impulse,43,0.062071934
S4_var,36,0.060113553
S3_std,24,0.059953656
S3_var,25,0.05994383
S3_rms,23,0.058911
S4_margin,42,0.057873797
S1_impulse,10,0.05642478
S3_crest,29,0.055377435
S3_p2p,28,0.05136084
S1_crest,7,0.049020324
S2_impulse,21,0.047064304
S3_impulse,32,0.040194076
S3_margin,31,0.036926664
S2_crest,18,0.035113614
