Feature,Index,Importance
S1_rms,1,0.20802139
S1_std,2,0.20420064
S1_var,3,0.17229697
S4_mean,33,0.16257961
S1_p2p,6,0.16243125
S2_skew,15,0.15873569
S1_shape,8,0.15545431
S2_shape,19,0.14953142
S3_mean,22,0.14059989
S3_shape,30,0.124612994
S4_skew,37,0.12235963
S4_shape,41,0.119762056
S1_skew,4,0.11545281
S1_mean,0,0.112646654
S2_var,14,0.1032046
S1_kurt,5,0.09532404
S2_rms,12,0.09519524
S2_std,13,0.094942234
S4_p2p,39,0.09461434
S3_kurt,27,0.09209674
S4_rms,34,0.09197905
S2_kurt,16,0.09038791
S3_rms,23,0.08842193
S3_std,24,0.08543862
S3_var,25,0.08398378
S4_std,35,0.08155134
S1_margin,9,0.0811968
S2_mean,11,0.07941406
S4_kurt,38,0.07787202
S3_skew,26,0.071563885
S4_var,36,0.07039207
S1_impulse,10,0.07005862
S2_margin,20,0.06366907
S4_crest,40,0.060284123
S2_impulse,21,0.0563584
S4_impulse,43,0.053503096
S4_margin,42,0.051192977
S2_p2p,17,0.050545756
S3_p2p,28,0.05022806
S1_crest,7,0.049972072
S3_margin,31,0.042457104
S3_impulse,32,0.035729907
S2_crest,18,0.033265207
S3_crest,29,0.029619865
