Feature,Importance
S1_rms,0.22245596
S1_std,0.22027089
S1_p2p,0.17395587
S4_mean,0.17378655
S1_var,0.17364646
S3_shape,0.15273763
S2_skew,0.14963645
S1_shape,0.14794226
S2_shape,0.14128436
S3_mean,0.13409895
S2_std,0.1330006
S2_rms,0.1326372
S1_mean,0.1320495
S2_var,0.12958175
S1_skew,0.1260633
S4_skew,0.11421683
S4_shape,0.10502832
S3_skew,0.101708576
S2_p2p,0.100979514
S4_p2p,0.09965306
S3_kurt,0.09726185
S4_rms,0.09483285
S2_kurt,0.09102699
S4_std,0.089537315
S4_kurt,0.08324904
S1_kurt,0.08251378
S2_mean,0.07667219
S4_crest,0.063694544
S1_margin,0.063541435
S2_margin,0.06241522
S4_impulse,0.062071934
S4_var,0.060113553
S3_std,0.059953656
S3_var,0.05994383
S3_rms,0.058911
S4_margin,0.057873797
S1_impulse,0.05642478
S3_crest,0.055377435
S3_p2p,0.05136084
S1_crest,0.049020324
S2_impulse,0.047064304
S3_impulse,0.040194076
S3_margin,0.036926664
S2_crest,0.035113614
