,300,400,500,600,700,800
DT,96.20199144491316,97.11080595254664,97.77675029336031,97.4518794685985,98.23671507105203,98.3870131542439
RF,98.81736985757243,99.10943345141816,99.5075755492009,99.6139695150994,99.75861740933185,99.6834721831646
SVM,99.34984924918288,99.78345039839213,99.8768472906404,99.9408263305322,99.89654844381462,100.0
NB,87.00756612812852,89.89390046166031,92.39748209647203,94.7003043342461,95.8433054863633,97.62363145558197
KNN,97.62442736954718,98.50514639522221,99.18687039140318,98.96876766296059,99.10738450145435,99.64502972284717
GBC,99.09826487819207,99.46629063972814,99.53005542376856,99.76260289574498,99.82734346297171,99.52567440788653
LR,98.98120732882623,99.54727635589018,99.82745106926355,99.91106231671708,100.0,100.0
