Feature,Importance
S1_rms,0.20802139
S1_std,0.20420064
S1_var,0.17229697
S4_mean,0.16257961
S1_p2p,0.16243125
S2_skew,0.15873569
S1_shape,0.15545431
S2_shape,0.14953142
S3_mean,0.14059989
S3_shape,0.124612994
S4_skew,0.12235963
S4_shape,0.119762056
S1_skew,0.11545281
S1_mean,0.112646654
S2_var,0.1032046
S1_kurt,0.09532404
S2_rms,0.09519524
S2_std,0.094942234
S4_p2p,0.09461434
S3_kurt,0.09209674
S4_rms,0.09197905
S2_kurt,0.09038791
S3_rms,0.08842193
S3_std,0.08543862
S3_var,0.08398378
S4_std,0.08155134
S1_margin,0.0811968
S2_mean,0.07941406
S4_kurt,0.07787202
S3_skew,0.071563885
S4_var,0.07039207
S1_impulse,0.07005862
S2_margin,0.06366907
S4_crest,0.060284123
S2_impulse,0.0563584
S4_impulse,0.053503096
S4_margin,0.051192977
S2_p2p,0.050545756
S3_p2p,0.05022806
S1_crest,0.049972072
S3_margin,0.042457104
S3_impulse,0.035729907
S2_crest,0.033265207
S3_crest,0.029619865
