,300,400,500,600,700,800
DT,96.19359163795743,97.30466316947661,97.89309453817866,97.6775456215991,97.87730583198554,98.29187532447537
RF,98.6319150525928,99.18668380017823,99.57815033737798,99.67270155260664,99.68725130890715,99.68190226233531
SVM,99.31638910549808,99.76170222557312,99.802280620895,99.91053396166248,99.89583081278583,100.0
NB,86.90580774847867,89.76341218880044,92.19595190018627,94.67649459134391,95.6936387943224,97.61536491839283
KNN,97.64125514334027,98.61626331250368,99.011225194479,98.96132235149837,99.09950080302009,99.6042712892704
GBC,98.88602427932511,99.50372034638377,99.45530777523139,99.61290910477356,99.82590074285577,99.40427631840414
LR,98.8698620227068,99.52340445114626,99.82648088848607,99.9106233351543,100.0,100.0
