,300,400,500,600,700,800
DT,96.1944464391257,97.30380936649519,97.89081885856078,97.6777730466255,97.87958937198069,98.29159960869701
RF,98.6324232063059,99.18713719382698,99.57816377171216,99.67253033851394,99.68725845410627,99.68214522389474
SVM,99.3162613167474,99.76208174052574,99.80148883374689,99.91071428571429,99.89571256038647,100.0
NB,86.88870230947265,89.75010618717259,92.18362282878412,94.67106663827975,95.69045893719806,97.61597084161696
KNN,97.63646105492248,98.612172982837,99.0074441687345,98.95820026967567,99.09631642512078,99.60278014452966
GBC,98.88510083574076,99.5044008683751,99.45409429280396,99.61291781988504,99.82614734299517,99.40405187920099
LR,98.87029723205754,99.5241831453427,99.82630272952854,99.91071428571429,100.0,100.0
