FeatureIndex,Feature,SurvivalScore
1,S1_rms,1.8601393
15,S2_kurt,1.8197855
0,S1_mean,1.8171134
4,S1_skew,1.7736359
9,S1_impulse,1.7512722
10,S2_mean,1.7477338
7,S1_crest,1.7413144
12,S2_std,1.7228222
18,S2_shape,1.7102344
5,S1_kurt,1.6985306
14,S2_skew,1.6939893
2,S1_std,1.6772046
16,S2_p2p,1.6455748
13,S2_var,1.5982152
3,S1_var,1.593749
11,S2_rms,1.5199662
8,S1_shape,1.4806349
6,S1_p2p,1.4700984
17,S2_crest,1.440687
19,S2_impulse,1.340992
