,300,400,500,600,700,800
KAN,98.29051519855057,99.12767237717685,99.0818858560794,99.43447945497125,99.68731884057969,99.96023856858848
MLP,93.3403006015345,96.01497239133514,96.62531017369729,97.46966148605493,97.87983091787439,99.00683202373062
