Feature,Importance
S1_rms,0.16299218
S1_std,0.13597396
S1_shape,0.12969235
S2_p2p,0.11932039
S2_shape,0.11621154
S3_var,0.11353155
S4_std,0.1117773
S3_p2p,0.111281514
S1_var,0.10923967
S4_var,0.10590197
S3_std,0.10462259
S1_p2p,0.10453302
S3_mean,0.10094485
S3_shape,0.08839646
S4_skew,0.08816986
S4_rms,0.08797152
S2_rms,0.08450651
S4_mean,0.082973294
S1_skew,0.08275742
S3_skew,0.082291804
S2_skew,0.08220591
S2_std,0.08074488
S3_rms,0.07695791
S2_crest,0.076327235
S1_impulse,0.074529395
S1_crest,0.07426244
S3_crest,0.072972745
S1_mean,0.07259911
S2_impulse,0.07255762
S4_shape,0.07115193
S1_kurt,0.07072288
S2_kurt,0.06522779
S2_var,0.06385186
S2_mean,0.06293254
S4_p2p,0.05618443
S3_impulse,0.048820086
S4_impulse,0.048532613
S4_crest,0.044968687
S3_kurt,0.03289105
S4_kurt,0.031032294
