,300,400,500,600,700,800
KAN,98.29489783113455,99.1285471841621,99.0864151610206,99.43565668380742,99.68761343012706,99.9601593625498
MLP,93.36917306158365,96.04895871199815,96.65500105129512,97.49486389472696,97.91172494175349,99.01132412565538
