Feature,Importance
S1_rms,0.15480435
S3_p2p,0.15097962
S1_shape,0.1445016
S3_mean,0.13689621
S2_rms,0.13585022
S4_std,0.1354191
S1_p2p,0.13337886
S2_p2p,0.13309707
S3_skew,0.13066019
S3_std,0.1304241
S1_std,0.12789989
S2_shape,0.12646613
S4_var,0.1256732
S2_std,0.1225023
S3_var,0.11808817
S4_rms,0.111162096
S4_mean,0.106248476
S1_crest,0.10586241
S1_impulse,0.10543011
S4_skew,0.10479716
S3_crest,0.09920181
S3_shape,0.09835635
S2_mean,0.093806446
S3_rms,0.092196144
S2_skew,0.08909277
S1_skew,0.08730312
S4_shape,0.08378361
S1_kurt,0.08328216
S2_var,0.08200248
S1_var,0.08094544
S2_crest,0.08005616
S1_mean,0.07958188
S4_impulse,0.07870815
S2_kurt,0.07533461
S4_p2p,0.075038314
S3_impulse,0.07391208
S4_crest,0.07193987
S2_impulse,0.06995017
S3_kurt,0.047831096
S4_kurt,0.040404156
