Feature,Importance
S1_rms,0.15377039
S3_p2p,0.14868608
S1_shape,0.14359377
S3_mean,0.13535696
S2_rms,0.13392654
S1_p2p,0.13228224
S4_std,0.13225897
S2_p2p,0.13065428
S3_skew,0.1297449
S3_std,0.12861437
S1_std,0.12734339
S2_shape,0.1255514
S4_var,0.12197981
S2_std,0.120380275
S3_var,0.11689974
S4_rms,0.108825706
S1_crest,0.10492884
S4_mean,0.10463605
S4_skew,0.10424289
S1_impulse,0.10419813
S3_crest,0.097106755
S3_shape,0.0970668
S2_mean,0.09188372
S3_rms,0.091875374
S2_skew,0.08849578
S1_skew,0.08641157
S1_kurt,0.08270511
S4_shape,0.0821341
S2_var,0.0808261
S1_var,0.080242306
S2_crest,0.078672275
S1_mean,0.07808393
S4_impulse,0.077320896
S2_kurt,0.07513448
S4_p2p,0.07319179
S3_impulse,0.072773546
S4_crest,0.07048632
S2_impulse,0.06955519
S3_kurt,0.047750127
S4_kurt,0.039767604
