,300,400,500,600,700,800
KAN,98.29032993284434,99.12928027817159,99.08345505663561,99.43495061743842,99.68737313829727,99.96047430830039
MLP,93.346746644626,96.02178631492055,96.63246544057662,97.4746984347675,97.88516656775582,99.00838824512476
