Feature,Importance
S1_rms,0.15008199
S1_std,0.12556933
S2_p2p,0.12512589
S2_shape,0.1231415
S1_shape,0.11846073
S3_p2p,0.1149473
S3_var,0.109678365
S4_std,0.10914463
S1_p2p,0.10534857
S4_var,0.10480988
S3_std,0.10192825
S3_mean,0.100071065
S1_crest,0.0975008
S2_kurt,0.09652297
S1_impulse,0.09639031
S1_var,0.09562822
S3_shape,0.0942105
S2_rms,0.092096284
S2_crest,0.09000687
S4_rms,0.08912554
S4_skew,0.08690689
S2_std,0.0842254
S1_kurt,0.08044106
S2_impulse,0.0802023
S4_mean,0.08018246
S3_skew,0.07918239
S2_skew,0.07755852
S3_rms,0.07535712
S1_skew,0.07002492
S4_shape,0.06919162
S2_var,0.067134276
S3_crest,0.06704624
S1_mean,0.06180746
S4_p2p,0.05420948
S2_mean,0.05243711
S4_impulse,0.05150577
S4_crest,0.046559975
S3_impulse,0.046466798
S4_kurt,0.035261042
S3_kurt,0.033400282
