FeatureIndex,Feature,SurvivalScore
1,S1_rms,1.8776524
15,S2_kurt,1.7975827
0,S1_mean,1.7633948
4,S1_skew,1.759933
10,S2_mean,1.7569784
9,S1_impulse,1.7478468
5,S1_kurt,1.74008
18,S2_shape,1.7302525
12,S2_std,1.7288586
7,S1_crest,1.7185117
14,S2_skew,1.6978606
2,S1_std,1.6966974
16,S2_p2p,1.6874802
3,S1_var,1.5929011
13,S2_var,1.5856426
11,S2_rms,1.5181272
8,S1_shape,1.4741681
6,S1_p2p,1.4690827
17,S2_crest,1.4330189
19,S2_impulse,1.3014171
