FeatureIndex,Feature,SurvivalScore
1,S1_rms,1.8036612
15,S2_kurt,1.7008203
10,S2_mean,1.6649356
9,S1_impulse,1.6379199
5,S1_kurt,1.6352183
7,S1_crest,1.6349134
0,S1_mean,1.6267053
17,S2_crest,1.6165878
16,S2_p2p,1.6081457
12,S2_std,1.6023473
14,S2_skew,1.5875182
2,S1_std,1.5563633
4,S1_skew,1.5466626
3,S1_var,1.4874806
13,S2_var,1.440795
6,S1_p2p,1.4325535
11,S2_rms,1.4147831
8,S1_shape,1.3985169
18,S2_shape,1.217032
