Feature,Importance
S1_rms,0.1497198
S2_p2p,0.13834065
S1_shape,0.13707525
S3_p2p,0.12723929
S1_std,0.12514588
S1_p2p,0.11889085
S2_shape,0.11756739
S2_rms,0.11517128
S4_std,0.11470057
S3_mean,0.114226356
S3_var,0.11268991
S3_std,0.112314984
S1_crest,0.110146925
S4_var,0.10888474
S2_skew,0.10838775
S3_shape,0.1058551
S1_impulse,0.10581262
S2_std,0.10306018
S2_kurt,0.09842506
S4_skew,0.09604336
S4_rms,0.09564915
S2_crest,0.09383622
S4_mean,0.08873747
S3_skew,0.088273734
S2_impulse,0.08553913
S1_var,0.084080204
S1_skew,0.08256738
S1_mean,0.079840995
S3_rms,0.07940168
S2_mean,0.07918508
S4_shape,0.078198716
S2_var,0.077066675
S3_crest,0.076489255
S1_kurt,0.07227625
S4_p2p,0.063031204
S4_impulse,0.056441873
S4_crest,0.053683985
S3_impulse,0.049248837
S3_kurt,0.03376158
S4_kurt,0.03236972
