FeatureIndex,Feature,SurvivalScore
1,S1_rms,1.8685684
15,S2_kurt,1.7940518
0,S1_mean,1.7428659
10,S2_mean,1.7269894
9,S1_impulse,1.722306
5,S1_kurt,1.7115088
18,S2_shape,1.7063906
4,S1_skew,1.7022336
7,S1_crest,1.6984742
14,S2_skew,1.6880138
12,S2_std,1.6827691
2,S1_std,1.6673738
16,S2_p2p,1.6520518
3,S1_var,1.5742052
13,S2_var,1.5408877
11,S2_rms,1.5048075
6,S1_p2p,1.4674131
8,S1_shape,1.4625417
17,S2_crest,1.398591
19,S2_impulse,1.2867497
