Feature,Importance
S1_rms,0.16031551
S1_std,0.13343786
S2_p2p,0.13011102
S1_shape,0.12624976
S3_p2p,0.120827585
S4_std,0.1171126
S3_var,0.11683964
S2_shape,0.11570519
S4_var,0.11232653
S1_p2p,0.11175534
S3_std,0.109322615
S3_mean,0.10833259
S2_rms,0.10721192
S2_kurt,0.1044946
S1_var,0.09941873
S2_std,0.09832197
S3_shape,0.097516224
S4_rms,0.09472428
S3_skew,0.09466742
S2_skew,0.0940967
S2_crest,0.092337675
S1_crest,0.090028495
S1_impulse,0.08635795
S4_mean,0.084083244
S4_skew,0.08353788
S4_shape,0.080502026
S2_impulse,0.07950707
S3_rms,0.07929605
S2_var,0.07544249
S3_crest,0.07209991
S2_mean,0.06866218
S1_skew,0.066198006
S1_kurt,0.065401375
S1_mean,0.059797656
S4_p2p,0.05909003
S4_impulse,0.058416996
S4_crest,0.053327154
S3_impulse,0.047915064
S4_kurt,0.039733306
S3_kurt,0.036529183
