FeatureIndex,Feature,SurvivalScore
1,S1_rms,1.8469951
15,S2_kurt,1.7582493
10,S2_mean,1.7419645
9,S1_impulse,1.7119879
5,S1_kurt,1.690486
18,S2_shape,1.6732545
12,S2_std,1.6690443
7,S1_crest,1.6668763
0,S1_mean,1.6618712
4,S1_skew,1.6557002
16,S2_p2p,1.6517677
14,S2_skew,1.6408027
2,S1_std,1.6399634
3,S1_var,1.5204264
13,S2_var,1.4756792
11,S2_rms,1.46347
6,S1_p2p,1.4515744
8,S1_shape,1.4182755
17,S2_crest,1.3853073
19,S2_impulse,1.2438818
