Feature,Importance
S1_rms,0.14819676
S2_p2p,0.1364041
S1_shape,0.13570397
S3_p2p,0.12508842
S1_std,0.12424593
S1_p2p,0.11748597
S2_shape,0.11635904
S2_rms,0.11298843
S3_mean,0.112499505
S4_std,0.111884974
S3_var,0.111276016
S3_std,0.110353455
S1_crest,0.10891546
S2_skew,0.107215755
S4_var,0.105563775
S1_impulse,0.10430357
S3_shape,0.104022145
S2_std,0.10065289
S2_kurt,0.09795022
S4_skew,0.09520826
S4_rms,0.09330184
S2_crest,0.09273379
S4_mean,0.08717498
S3_skew,0.08717279
S2_impulse,0.0849991
S1_var,0.08298719
S1_skew,0.081472844
S3_rms,0.078835726
S1_mean,0.07806249
S2_mean,0.077165015
S4_shape,0.07638017
S2_var,0.0757214
S3_crest,0.0748321
S1_kurt,0.07151728
S4_p2p,0.061288666
S4_impulse,0.055194743
S4_crest,0.05241757
S3_impulse,0.048097454
S3_kurt,0.033561744
S4_kurt,0.031793535
