,300,400,500,600,700,800
DT,96.2376830787554,97.30399428870399,97.8692044178006,97.79650651287292,97.9134790435322,98.13219782892396
RF,98.79503436726208,99.18581846655825,99.57839663521364,99.64293859802586,99.72149042619124,99.68190226233531
SVM,99.33118200490637,99.82126672890104,99.82691116276692,99.97041420118343,99.93079584775086,100.0
NB,87.36615579464632,89.86305119081248,92.32008371169019,94.94489112455256,96.18120760158062,97.895201776494
KNN,97.80446369790869,98.77389754779321,99.06005449870428,99.08063913610455,99.3419564653424,99.68332267266963
GBC,98.98994968638644,99.50372034638377,99.45530777523139,99.61299689646144,99.75633363176615,99.40427631840414
LR,98.84001127643813,99.52340445114626,99.80154323262573,99.9106233351543,100.0,100.0
